nct_id,brief_title,flash_triage,criterion_1_flash,criterion_2_flash,criterion_1_sol,criterion_2_sol,sol_audit,sol_reason,flash_sol_agreement,priority_for_human_review,human_decision_existing
NCT04922424,Mechanisms and Interventions to Address Cardiovascular Risk of Gender-affirming Hormone Therapy in Trans Men,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04935164,Comparative Study of Gender Identity Disorder Versus Control,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04944654,"Efficacy, Tolerability and Acceptability of Biktarvy by TPLWH",human_review,yes,unclear,yes,unclear,genuinely_ambiguous,"A drug-interaction outcome mentions hormones in TGD participants, but the registry does not identify them as GAHT or specify a hormone analysis.",agree,high,
NCT04971447,Extracellular Vesicles and Endothelial Function in Transgender Subjects,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04977765,Cardiometabolic Health in Transgender Males,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04979338,"Development of Effective, Opioid Sparing Techniques for Peri-operative Pain Management of Transgender Patients Undergoing Gender Affirming Surgeries",human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04993469,Patient Reported Outcome on Genital Sensitivity and Sexual Function After Genital Gender Affirming Surgery,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05010707,Transgender Estradiol Affirming Therapy,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05016232,Adaptive Intervention to Facilitate PrEP Uptake/Adherence Among Transgender Women,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05019417,Glycerol-Phenylbutyrate Treatment in Children With MCT Mutation (Allan-Herndon- Dudley Syndrome),obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT05097820,Prospective Observational Study on SEBBIN Silicone Gel-filled Testicular Implants,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05116293,Effect of Testosterone Treatment on Drug Metabolism and Transport,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05126134,Psychological Vulnerabilities and Transgender Adolescents: A Descriptive Epidemiology Study,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05130086,A Study of Islatravir (MK-8591) in Trans and Gender Diverse Participants (MK-8591-035),likely_include,yes,yes,yes,no,likely_exclude,The islatravir study uses stable GAHT only as eligibility and reports drug safety and pharmacokinetics without a GAHT comparison or monitoring objective.,disagree,high,
NCT05166083,Investigation of the Perceptual and Acoustic Voice in Trans Man,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05169762,Feminizing Treatment in Transgender Women and Non-binary Persons,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05175170,Fertility Decision-Making in Youth and Young Adults,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05195164,The Effects of Orchiectomy and Age on Vascular and Metabolic Health in Older Versus Younger Transgender Women,human_review,yes,unclear,yes,yes,likely_include,Sex-hormone concentrations are explicitly monitored before and after orchiectomy in transgender women using estradiol and spironolactone.,disagree,high,
NCT05204732,Acoustic and Perceptual Effects of Intonation Training in Gender Diverse People,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05244694,Impact of Insulin on Sympathetic Nervous System-mediated Peripheral Vasoconstriction,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT05273112,Evaluation of the Variation in Quality of Life During Medical Transition for Transgender People.,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05292820,Sexual Function of Trans Women After Vaginoplasty,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05318755,China Gender-affirming Hormone Therapy Study,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05334888,Sex-differential Host-microbiome CVD Risk - A Longitudinal Cohort Approach,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05369247,Interval Versus Continuous Exercise During Pregnancy,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT05387577,Coagulation and Fibrinolysis of Estradiol in Transwomen,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05428215,Comparison of PKs of 17-Beta-Estradiol Via Sublingual Placement Versus Swallowing in Male-to-Female Transgender Patients,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05442463,Hormone Therapy and Angiotensin-Dependent Arterial and Renal Vasoconstriction in Humans,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05454579,The South-East Asian Transgender Health Cohort,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05469204,Effect of Estrogen Treatment on Drug Metabolism and Transport,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05487794,Effect of Dose Fractionation of Testosterone Cypionate on Transgender Men with Erythrocytosis,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05489159,Sleep and IR in Transgender Adolescents,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05534763,Internet-delivered Treatment for Transgender Individuals With Co-occurring Mental Health Problems,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05583058,Sex Hormone Overdose and Misuse in Chinese Transgender and Gender Non-conforming Population,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05587296,"A Study to Learn More About How Well Elinzanetant Works and How Safe it is Compared to Placebo for the Treatment of Hot Flashes Caused by Anti-cancer Therapy in Women With, or at High Risk for Developing Hormone-receptor Positive Breast Cancer",obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT05587751,Evaluation of Gender-Affirming Treatments on Pulmonary Function in Transgender and Gender Diverse Patients,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05602805,BariaPSY: the Data Bank,human_review,yes,unclear,unclear,no,likely_exclude,"A broad bariatric cohort offers transgender and nonbinary demographic response options, but does not explicitly define a TGD population or any GAHT research role.",disagree,high,
NCT05607303,Effect of Hormones on Frequency of Headache and Brain Structure and Function in Puberty,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05649605,Early Mental Response - The EMRE Study,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05649943,Multimodal Approach in Patients With mHSPC. Randomized Trial of APA+ADT vs APA-ADT and Local Treatment,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT05663892,Drug-Drug Interaction Study in Trans Women Living With HIV,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05726903,Counseling Among Gender Diverse Adolescents Who Use Depot Medroxyprogesterone,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05787470,State of Hormones Impact Nociceptive Expression,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05829018,Elucidating the High Cardiovascular Disease Risk in South Asians,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT05829928,Testicular Tissue Cryopreservation in the Setting of Gender-Affirming Therapy,human_review,yes,unclear,yes,unclear,genuinely_ambiguous,"Tissue is collected from patients using or planning hormones, but the testicular-tissue objectives do not state a comparison or analysis by GAHT exposure.",agree,high,
NCT05853120,Doxy-Post-exposure Prophylaxis,obvious_exclude,no,no,no,no,agree_obvious_exclude,The doxycycline pharmacokinetic study enrolls assigned-sex cohorts explicitly not using GAHT; it does not include a TGD population or study GAHT.,agree,low,
NCT05863676,Ovarian Tissue Cryopreservation in the Setting of Gender-affirming Therapy,human_review,yes,unclear,yes,yes,likely_include,The registry explicitly investigates effects of prior hormone therapy on ovarian tissue and follicle measures.,disagree,high,
NCT05865262,Protocol TRANS and QT Repolarization,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05883553,Epithesis Versus Prosthesis in Post-phalloplasty Transgender Patients.,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05884307,Trans Care: An Online Intervention to Reduce Symptoms of Gender Dysphoria,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05891795,Clascoterone for Steroid-related Acne Vulgaris in Transgender Male Patients Receiving Masculinizing Hormone Therapy,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT05897086,Polyethylene-glycol Assisted Nerve Repair in Phalloplasty,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05903911,Trans Care: An Online Intervention to Reduce Symptoms of Gender Dysphoria,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT05925361,Peritoneum Vaginoplasty; Implementation According to IDEAL Framework,likely_include,yes,yes,yes,no,likely_exclude,The registry evaluates peritoneal vaginoplasty feasibility and surgical outcomes; it gives GAHT no explicit research role.,disagree,high,
NCT05934877,ASK-PrEP (Assistance Services Knowledge-PrEP),human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06001307,"Supporting Trans Affirmation, Relationships, and Sex, Phase 3",human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06005610,Estradiol Therapy In Transgender Women to Research Interactions With HIV Therapy,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06022562,Effects of Gender-affirming Hormone Therapy on Transgender People,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06070324,Effect of Suture Material on Postoperative Nipple Areolar Complex Widening,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06074796,The Determinants of Fertility Preservation in TRANSgender Patients.,human_review,yes,unclear,yes,yes,likely_include,Prior hormone therapy is an explicit determinant in the fertility-preservation profile analysis.,disagree,high,
NCT06083766,Metabolic and Physiologic Responses to Hormone Therapy in Transgender and Gender Diverse People,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06094257,Prospective Study of Sensation and Satisfaction in Cancer and Transgender Mastectomy Patients,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06098781,Gynaecological Gender-affirming Surgeries,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06116201,Influences of Long Term Hormone Therapy on Physical Fitness and Vascular Function in Transgender Women,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06149065,Factors Associated With the Acne Severity Among Transmen Population: a Cross-sectional Study,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06221163,Sociological Study of the Life Courses of Young TRANSgender Patients,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06230770,Impact of Progestin-only Contraception on Bleeding Patterns in Individuals Initiating GATT,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06234488,Multi-Institutional Transgender & Gender-Diverse Breast Cancer Study,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06239766,BC Risk Assessment Before Top Surgery,likely_include,yes,yes,yes,no,likely_exclude,The study assesses breast-cancer risk before chest surgery; GAHT is general background rather than an explicit exposure or analytic variable.,disagree,high,
NCT06245681,"Effects of Cross-sex Hormone Treatment on Cardiac Function, Myocardial and Hepatic Fat Content",likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06247267,The Effect of Sex Steroid Replacement Therapy in the Hypogonadism and Transgender Active-Duty Population,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06291675,"Gender-Affirming Hormone Therapy and Its Impact on Myocardial Mass and Cardiac Function, Heart, Liver and Pancreatic Fat Content",likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06316102,Promoting Viral Suppression Among Transgender Women Living With HIV in Santo Domingo,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06351501,Evaluation of the Effectiveness of Hormonal Treatment in Adolescents Suffering From Gender Dysphoria,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06357130,Gynaecological Care for Transgender People in France in 2024.,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06390332,Centering Gender Affirming Resources in Higher Education,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06391034,"Magnetic Resonance (MR) Imaging With Hyperpolarized 13C-Pyruvate +/- 13C,15N-Urea in Patients With Prostate Cancer",obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT06400199,Fertility Preservation for Transfeminine Adolescents Via Semen Cryopreservation or Testicular Sperm Extraction,human_review,yes,no,yes,no,likely_exclude,The registry is limited to puberty suppression and does not state an estradiol or testosterone GAHT research component.,disagree,high,
NCT06405243,"Myoinositol, L-arginine and Chromium With Letrozole for Ovulation Induction in Polycystic Ovarian Syndrome Patients",obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT06418347,Effect of ALA Combined With Letrozole on Polycystic Ovary Syndrome Clinical Outcome in Infertile Females,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT06428669,Effect of Nitropaste in Chest Masculinizing Surgery,likely_include,yes,yes,yes,no,likely_exclude,"The trial evaluates nitropaste after chest surgery and does not give GAHT an intervention, exposure, comparison, monitoring, or analytic role.",disagree,high,
NCT06436560,Support for Transgender and Non-Binary Individuals Seeking Vaginoplasty Study,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06439290,"Voice Outcome of Glottoplasty, Cricothyroid Approximation, Thyroplasty, and Chondrolaryngoplasty",human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06443164,Efficacy of a Chronic Pain Treatment Prior to Gender-affirming Surgery,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06450405,Androgen Effects on the Reproductive Neuroendocrine Axis,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06470906,Feasibility of an Oral Intervention for Sexual Health in Transgender Men,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06482385,Transmasculine Quality of Life and Sexual Function at Pre and Post Gender-affirming Hormonal Therapy,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06487754,New-onset Chronic Pelvic Pain in Transgender People Using Testosterone Therapy: an Exploratory Qualitative Study.,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06502353,Plexaa For Preconditioning: Gender Affirming Mastectomy,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06530992,The Effect of Tucking on Semen Quality of Adult Trans Women,likely_include,yes,yes,yes,no,likely_exclude,"The study evaluates tucking and semen quality before GAHT and excludes ongoing GAHT, so hormone therapy is future context rather than a studied variable.",disagree,high,
NCT06565663,MaPGAS Decision Making,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06573177,Optimizing Individual Health Care for Young People With Gender Incongruence,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06615401,Understanding Perceived Access and Receipt of Gender-affirming Treatments Among Transgender Veterans,human_review,yes,unclear,yes,yes,likely_include,"Receipt and access to hormone therapy, and their associations with mental-health outcomes, are explicit study aims.",disagree,high,
NCT06639763,Erectile Aid Use in Post-phalloplasty and Post-metoidioplasty Transgender Patients,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06639776,Sexual Functioning After Erection Prosthesis Placement in Post Phalloplasty Transgender Persons,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06656676,WePrEP: Developing a PrEP Shared Decision-making Tool for Transgender Women,human_review,yes,unclear,yes,unclear,genuinely_ambiguous,"The PrEP tool is motivated by GAHT-interaction concerns, but its outcomes evaluate the decision tool without stating that GAHT content or interaction is analyzed.",agree,high,
NCT06670053,"Puberty, Testosterone, and Brain Development",likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06710496,HISTOLOGICAL RESULTS IN TRANSGENDER INDIVIDUALS ASSIGNED TO FEMALES AT BIRTH UNDERGOING GENDER AFFIRMATION SURGERY AND IN TESTOSTERONE THERAPY,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06733415,Changes in Energy Expenditure (EE) in Transsexuals Undergoing Hormonal Therapy,human_review,yes,unclear,yes,yes,likely_include,Metabolic rate is measured before and after initiation of gender-affirming hormonal treatment.,disagree,high,
NCT06741319,Behavioral and Psychosocial Characteristics of Clients Accessing Services at IHRI,likely_include,yes,yes,yes,unclear,downgrade_human_review,"The broad HIV and health-services cohort records hormone therapy among many clinical characteristics, but no hormone-specific analysis is stated.",disagree,high,
NCT06747624,A Crossover Clinical Trial Investigating the Effects of Geranylgeraniol (GG) Supplementation on Testosterone Levels in Healthy Men and Women Over an 18-week Period,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT06774053,Swiss ProspectivE Cohort of TRAnsgender and Gender Diverse Individuals - The SPECTRA Study,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06779331,Phosphate Urine Excretion in Critically Ill Patients,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT06807580,Progesterone in Gender Affirming Hormone Therapy Study,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06816355,Exogenous Sex Hormones and PONV,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT06844097,Intervention for Medical Student to Promote Cervical Cancer Screening Among Latinx Transmasculine Individuals,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06854965,Cohort Study on Factors Associated with the Evolution of Quality of Life Among Transgender Individuals in the French Population,human_review,yes,unclear,yes,yes,likely_include,"Quality of life is explicitly analyzed with hormone-therapy complications, transition modality, and self-medication variables.",disagree,high,
NCT06880705,The Trans-Led Care Study,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT06939257,Pain Outcomes Associated With Exogenous Hormone Therapy in Adults,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
